"GEOID","NAME","MedIncE","MedIncM","GiniE","GiniM","TotPopE","TotPopM","Year"
"2603159500","Nunda township, Cheboygan County, Michigan",16397,1270,0.3686,0.0431,1160,179,2011
"2603182940","Walker township, Cheboygan County, Michigan",21750,3898,0.5145,0.1182,386,96,2011
"2603107420","Benton township, Cheboygan County, Michigan",21426,2777,0.4586,0.0602,3219,32,2011
"2603125400","Ellis township, Cheboygan County, Michigan",17650,3442,0.3723,0.0497,668,127,2011
"2603129400","Forest township, Cheboygan County, Michigan",18632,2542,0.3454,0.0365,881,130,2011
"2603156100","Mullett township, Cheboygan County, Michigan",20321,3579,0.383,0.0416,1376,201,2011
"2603156280","Munro township, Cheboygan County, Michigan",24655,3732,0.3912,0.0387,542,87,2011
"2603184760","Waverly township, Cheboygan County, Michigan",21086,2855,0.4956,0.1552,497,102,2011
"2603180880","Tuscarora township, Cheboygan County, Michigan",25689,3462,0.3998,0.0356,3071,18,2011
"2603140820","Inverness township, Cheboygan County, Michigan",23879,1906,0.4445,0.0417,2436,216,2011
"2603143820","Koehler township, Cheboygan County, Michigan",20875,3017,0.4208,0.0558,1261,179,2011
"2603115000","Cheboygan city, Cheboygan County, Michigan",14564,1551,0.4543,0.0318,4964,27,2011
"2603137480","Hebron township, Cheboygan County, Michigan",20046,2458,0.4315,0.0594,304,66,2011
"2603187640","Wilmot township, Cheboygan County, Michigan",17957,2014,0.3931,0.0336,762,112,2011
"2603111980","Burt township, Cheboygan County, Michigan",29257,3731,0.5288,0.0926,742,117,2011
"2603134200","Grant township, Cheboygan County, Michigan",21711,2800,0.3492,0.0421,723,93,2011
"2603150300","Mackinaw township, Cheboygan County, Michigan",22563,5215,0.4457,0.0857,514,103,2011
"2603101720","Aloha township, Cheboygan County, Michigan",20128,2614,0.4341,0.0341,995,157,2011
"2603153100","Mentor township, Cheboygan County, Michigan",21170,1823,0.3662,0.0328,743,103,2011
"2603100000","County subdivisions not defined, Cheboygan County, Michigan",NA,NA,NA,NA,0,78,2011
"2603106500","Beaugrand township, Cheboygan County, Michigan",20482,2524,0.4258,0.0485,1188,184,2011
"2603100000","County subdivisions not defined, Cheboygan County, Michigan",NA,NA,NA,NA,0,10,2016
"2603107420","Benton township, Cheboygan County, Michigan",22090,2069,0.4274,0.0384,3136,22,2016
"2603156280","Munro township, Cheboygan County, Michigan",24135,5052,0.477,0.0797,579,61,2016
"2603140820","Inverness township, Cheboygan County, Michigan",20894,2111,0.4061,0.0481,2498,245,2016
"2603150300","Mackinaw township, Cheboygan County, Michigan",25789,4219,0.4263,0.0574,376,82,2016
"2603106500","Beaugrand township, Cheboygan County, Michigan",21454,1320,0.4906,0.0869,1192,158,2016
"2603159500","Nunda township, Cheboygan County, Michigan",19688,3410,0.3385,0.0395,1156,142,2016
"2603182940","Walker township, Cheboygan County, Michigan",14438,2984,0.3561,0.0716,335,86,2016
"2603125400","Ellis township, Cheboygan County, Michigan",20000,4588,0.3304,0.0494,498,113,2016
"2603129400","Forest township, Cheboygan County, Michigan",22696,2686,0.5143,0.1472,964,112,2016
"2603156100","Mullett township, Cheboygan County, Michigan",21810,1768,0.4829,0.0831,1234,164,2016
"2603184760","Waverly township, Cheboygan County, Michigan",25347,3381,0.3383,0.0489,438,67,2016
"2603180880","Tuscarora township, Cheboygan County, Michigan",21667,5620,0.4868,0.0533,2971,29,2016
"2603143820","Koehler township, Cheboygan County, Michigan",21004,2000,0.4128,0.051,1114,158,2016
"2603115000","Cheboygan city, Cheboygan County, Michigan",17507,1734,0.4262,0.0283,4761,21,2016
"2603137480","Hebron township, Cheboygan County, Michigan",22578,3288,0.3826,0.0667,318,74,2016
"2603101720","Aloha township, Cheboygan County, Michigan",23563,2302,0.4647,0.0961,909,125,2016
"2603111980","Burt township, Cheboygan County, Michigan",25673,5351,0.4393,0.0495,678,130,2016
"2603134200","Grant township, Cheboygan County, Michigan",24848,2773,0.339,0.0578,814,135,2016
"2603187640","Wilmot township, Cheboygan County, Michigan",19769,2481,0.3992,0.0488,759,127,2016
"2603153100","Mentor township, Cheboygan County, Michigan",24805,3554,0.6148,0.2392,849,106,2016
